question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,在大部分的一般保單當中被視為除外責任的基本風險包括戰爭及:,地震風險,飓風風險,核風險,水災風險,C,在大部分的壹般保單當中被視為除外責任的基本風險包括戰爭及核風險。
2,"戰爭風險及核風險是標準除外責任,以下哪項描述是正確的?",基本風險一般是不可保的,基本風險在給付額外保險費後是可保的,基本風險在「全險」的保障中是受到保障的,以上所有各項,A,"戰爭風險及核風險是標準除外責任,一般都不可保。"
3,“全險”保單不大可能保障以下哪項成因所導致的損失或損害?,遭一名持械盜賊偷竊,手錶因跌入海中所造成手錶內部的損害,因濕度持續高企造成手錶內部的損害,以上各項皆是,C,"只要不在除外責任之列,任何可能的風險所引致的損失或損害都受到全險保單承保。索償人只須證明 發生了意外的損失,而不必指出它的具體原因。因濕度持續高企造成手錶內部的損害不是意外損失。"
4,"財產保險保障範圍分兩類,分別是「指明危險」和:",全險,單一危險方式,特定危險,特定壽險,A,"財產保險保障範圍分兩類,分別是「全險」和「指明危險」。"
5,只對火災、閃電及家用氣體爆炸造成的損害提供保障的保險比較可能是:,全險,第三者保險,除外危險,指明危險,D,"指明危險(或指名危險)的意思是指,若要構成保單責任,發生了的損失或損害必須由保單所指明的某種危險(即損失的原因或成因)作為近因而引起的,比如火險保單中指明的閃電。"
6,"財產保險保障範圍分兩類,分別是「全險」和: 章節 1",特定壽險,特定危險,指明危險,指明壽險,C,"財產保險保障範圍分兩類,分別是「全險」和「指明危險」。"
7,"一般保險中,健康保險通常會歸類於:",責任保險,人身保險,財產保險,經濟權益保險,B,"「人身保險」的標的是人的生命、肢體或健康,或醫療費用。"
8,一般保險的保障範圍包括:,財產保險,責任保險,人身保險,以上各項皆是,D,"壹般保險的保障範圍包括:人身保險,財產保險,經濟權益保險及責任保險。"
9,"在「折扣回減機制」,不會因一次索償而導致所有折扣取消,適用於:",私家車保險,商用車輛保險,電單車保險,汽車租賃買賣的保險,A,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作——壹次索償不壹定會撤銷來年的折扣。"
10,「使若干條款無效及有權追回款項條款」適用於:,只在特別條款(例如額外保費)生效時,在強制性條款凌駕於保單條款時,意外中只有被保人的汽車遭損毀,只由第三者引起的損毀,B,"在某些情形下,即使被保險人違反了保單條款,強制保險的相關規定仍不容許保險人拒絕向第三者賠償死亡或受傷的損失。"
11,"汽車保險無索償折扣機制下,當無索償折扣已積累到一個高的水平時,發生一次索償不會清除下年度的無索償折扣。這種制度稱為:",平均機制,折扣回減機制,不能作廢保單條款,無索償折扣回扣計劃,B,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作——壹次索償不壹定會撤銷來年的折扣。"
12,"保險業中車輛分為不同類別,以下哪類不是通常分類?",的士,私家車,電單車,商用車輛,A,汽車保險有三個主要類別:私家車、電單車和商用車輛。
13,下列哪項不大可能出現於大部分汽車保險保單的除外責任?,戰爭及核風險,合約上的責任,屬於社交、娛樂及消閑用途,未經批準的車輛用途,C,共同除外責任包括:未能依照受保汽車使用限制的規定使用受保汽車、戰爭及核風險、合約附加的責任等。
14,你預期以下哪項不屬於本港所簽發的無擴展汽車保單的除外責任?,財物損毀責任,發生在保險人指定保障區範圍以外的意外,被保險汽車的首一千元損毀,以上所有各項,A,"保險人可以就被保險人的汽車提供財產保險。共同除外責任包括在指明的受保地理區域之外發生的意外事故。根據保單訂明的自負額,每次損失中的該金額或以下的金額是不受保的。"
15,汽車保險怎樣釐定保費?,車輛的用途,引擎的立方容量,被保人對其車輛的估計價值,上述各項都是,D,所有各項都是釐定保費的共同因素。
16,您認為以下哪一種不屬於保險人釐定綜合私家汽車保險單保費的考慮因素?,被保險人對車輛的估計價值,保障範圍,被保險人的性別,被保險車輛的引擎容量,C,"釐定保費的共同因素不包括被保險人的性別,"
17,釐定保費?,車輛的用途(商用汽車),引擎的立方容量(私家車),被保人對其車輛的估計價值,上述各項都是,D,"所有各項都是釐定保費的共同因素,"
18,下列哪項有關標準自負額的陳述並不正確?,它們額外附加在任何自願性自負額上,這類自負額不容許提供保費扣減,適用於同一業務類別的所有保單,這類自負額容許提供一項標準保費的扣減,D,標準自負額的其中壹個特點是它們不會降低保費。
19,"有一種由被保險人要求的汽車保險保單自負額,通常是為了換取保單的折扣, 這種自負額稱為:",標準自負額,自願性自負額,承保自負額,非強制性自負額,B,"自願性自負額是被保險人為了換取保費折扣而自己要求的,"
20,以下哪項有關免賠額的描述是正確的?,它是可與「自負額」互換的,免賠額金額通常低於自負額,它們隱含於合約中,以上各項皆是,A,"自負額(也稱免賠額)是指壹項訂明的金額,每次損失中的該金額或以下的金額是不受保的。"
21,"所謂「折扣回減機制」,對下列哪項車輛最為適合?",電單車,商用車輛,私家車,以上各項皆是,C,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作——壹次索償不壹定會撤銷來年的折扣。對其他種類的汽車而言,壹次索償已足以撤銷來年的無索償折扣,必須在新的壹年內沒有提出過索償 方可重新獲得最低的折扣率。"
22,以下哪項不屬於汽車保險的主要類別?,商用車輛,私家車,的士,電單車,C,汽車保險的三個主要類別:私家車、電單車和商用車輛。
23,"我們常提及保險人承保的「第三者」責任保險,以下哪三項是正確的? (i) 它較強制性的「第三者」責任保險保障廣泛 (ii) 它與強制性的「第三者」責任保險不同 (iii) 它包括財產損害保障 (iv) 它並不包括第三者財產保障",(i)、(ii)及(iii),(i)、(ii)及(iv),(i)、(iii)及(iv),(ii)、(iii)及(iv),A,"「第三者」汽車保險單除了承保死亡和傷害的法律責任以外,還承保對第三者造成財產損害的法律責任。"
24,"有些保險向往來沒有提出索償的客戶提供保費折扣,以下哪項或哪些是對有關 制度的描述是正確的? (i)這稱為「無索償折扣」 (ii) 對私家車而言,折扣的百份率是很高的 (iii)全年沒有提供索償的後果是下一年會有保費折扣 (iv) 全年沒有提出索償的後果是退還該年度的保費",只有(i),只有(ii)及(iii),(i)、(ii)及(iii),(i)、(ii)、(iii)及(iv),C,"汽車保險有壹個非常重要,也幾乎是最為獨特的特征,就是如果被保險人在剛過去的保單年度中沒有任何索償,那麼保險人便會對續保年保費給予稱為無索償折扣的累進折扣。就私家車而言,第壹年的無索償記錄能得到百分之二十的無索償折扣(NCD),第二年將為百分之三十,依次類推,而五年的無索償記錄將無索償折扣累進到百分之六十的最高比率。對於其他類別的汽車,折扣相當可能從百分之十開始,最高提升到百分之三十。"
25,"在私家車的保險中,「折扣回減機制」意思是:","若索償與第三者有關,折扣將不會回減",每次索償會將所有折扣取消,每次索償會將折扣回減 30%,每次索償會將折扣回減 10%,C,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作壹次索償不壹定會撤銷來年的折扣。如果在某個保單年度中所享用的折扣屬於四年的相應折扣率(即50%),而當年發生了壹次索償,那麼續保時的折扣率便會被調低至20%。"
26,"無索償折扣會應用於私家車的保險中,當私家車得到最高的無索償折扣時,不會因一次意外索償而完全取消所有折扣。這種運作稱為:",無索償折扣扣減機制,平均機制,折扣回減機制,不能作廢保單條款,C,"對私家車而言,無索償折扣以所謂「折扣回減機制」運作———壹次索償不壹定會撤銷來年的折扣。如果 在某個保單年度中所享用的折扣屬於四年的相應折扣率(即50%),而當年發生了壹次索償,那麼續保 時的折扣率便會被調低至20%。"
27,"在汽車保險中,何時可取得無索償折扣?",以往無任何索償紀錄,於來年度並無索償紀錄,於上一年並無任何索償紀錄,以上所有各項,C,"如果被保險人在過去的保單年度中沒有任何索償,那麼保險人便會對續保年保費給予稱為無索償折扣的累進折扣。"
28,"本港汽車保險的慣例中,保險人採用的無索償折扣提供最高的折扣率予:",所有類別的車輛,私家車,電單車,商用車輛,B,"就私家車而言,第壹年的無索償記錄能得到百分之二十的無索償折扣(NCD),第二年將為百分之三十,依次類推,而五年的無索償記錄將無索償折扣累進到百分之六十的最高比率。對於其他類別的汽 車,折扣相當可能從百分之十開始,最高提升到百分之三十。"
29,"大部分汽車保險保單均有一項慣例,就是如果被保險人在過往一年沒有作出索賠,便可於來年續保時,獲取保費上的折扣。這種慣例的最正確名稱為:",無索償獎金,無索償折扣,無索償扣減額,無索償續保減免,B,"汽車保險有壹個非常重要,也幾乎是最為獨特的特征,就是如果被保險人在剛過去的保單年度中沒有任何索償,那麼保險人便會對續保年保費給予稱為無索償折扣的累進折扣。"
30,「法令」保險在香港汽車保險業界屬於:,保險人的汽車保險組合中的一個重要部分,"較昂貴,因此普遍程度較第三者保險為低","較便宜,因此普遍程度較汽車保險組合為高","在保險人的汽車保險業務中屬於沒有重要性,因為保障範圍狹窄,不能期望有人會買",D,"「法令」保險在保險人的汽車保險業務中沒有重要性,因為保障範圍狹窄,不能期望有人會買。"
31,強制性第三者責任是指:,第三者財產損害責任,第三者的死亡或身體受傷責任,第三者的財產損害責任及傷亡責任,十足的第三者財產損害及傷亡責任,B,條例中第三者風險僅指對死亡、受傷應負的法律責任。對第三者造成財產損害的法律責任不屬於強制保險的範圍。
32,以下哪項有關「法令」保險的描述是正確的?,保險人沒有宣傳「法令」保險,「法令」保險是僅僅符合法定最低要求的保險,"理論上,而非實際上,這是可以購買到的汽車保險中最便宜的一種",以上各項皆是,D,"所有各項陳述都是正確的,"
33,「使若干條款無效及有權追回款項」條款可於以下哪項情況下使用?,當強制保險的相關規定凌駕於保險條款之上,當只有被保險人的車輛受損的時候,意外中只有被保人的汽車遭損毀,只由第三者引起的損毀,A,"在某些情形下,即使被保險人違反了保單條款,強制保險的相關規定仍不容許保險人拒絕向第三者賠償死亡或受傷的損失。"
34,"在強制性汽車法例的「第三者」保單,與本港汽車保險人的第三者保單:",完全相同,均只是「法令」 保障責任,均可是「法令」與「綜合」,"完全不相同,後者是提供財產損毀及責任保障",D,"在強制性汽車法例的「第三者」保單,與本港汽車保險人的第三者保單完全不相同,後者是提供財產 損毀及責任保障。"
35,"在香港的汽車保險人所稱的第三者責任保險,保障範圍包括:",第三者的財產損失,對第三者造成的傷亡而已,對第三者造成的傷亡及受保人的車輛損壞,對第三者的受傷、死亡、以及第三者的財產損失,D,純第三者責任保險保障的保障範圍是任何受保駕駛者(或任何乘客)對第三者造成死亡、受傷或財產損害而應負的法律責任。
36,提供最狹窄保障範圍的汽車保險是:,「法令」保險,純第三者責任保險保障,綜合保險保障,第三者責任、火災及盜竊保險保障,A,提供最狹窄保障範圍的汽車保險是「法令」保險。
37,"若乘客在交通意外中受傷,以下哪項可為被保險人的責任提供保障?",綜合保險保障,「法令」保險,第三者責任、火災及盜竊保險保障,以上所有各項,D,這三種主要的汽車保險的保障範圍均包括任何受保駕駛者(或任何乘客)對第三者造成死亡、受傷或 財產損害而應負的法律責任。
38,"在道路意外中,被保險人的乘客遭受損傷,其醫療費用可能包括於下列哪項汽 車保險中?",法令保險,第三者責任、火災、盜竊保險保障,綜合保險保障,以上所有各項,D,這三種主要的汽車保險的保障範圍均包括任何受保駕駛者(或任何乘客)對第三者造成死亡、受傷或財產損害而應負的法律責任。
39,"一輛汽車高速行駛時翻側,全車損壞。但並沒有造成任何生命損傷,請問以下哪類保單可獲賠償?",汽車綜合保單,第三者責任保險,第三者責任、火險、盜竊保險,以上所列各項,A,"市面上的汽車保險保障中,綜合保險保障是保障範圍最廣闊的壹種,包括了純第三者責任保險保障和第三者責任、火災及盜竊保險保障,而受保汽車的保險保障是「全險」的。"
40,下列哪項有關「法令」汽車保險的陳述是不正確的?,是可以買到的汽車保險中保障最狹窄的,只保障第三者的死亡或受傷的情況,"因為便宜,所以普遍",以上所有各項皆為正確,C,"純法令保險保障已經很難在市場上找到了,"
41,"以下哪項汽車保險單,保障範圍包括對受保車輛造成的損失及損壞? (i) 「法令」保險 (ii) 第三者責任保險保障 (iii) 第三者責任、火災及盜竊保險保障 (iv) 綜合保險保障",(i)及(ii),(i)及(iii),(ii)及(iii),(iii)及(iv),D,"第三者責任、火災及盜竊保險保障的保障範圍包括受保汽車遭受由火災或盜竊引起的損失或損害的財產保險。市面上的汽車保險保障中,綜合保險保障是保障範圍最廣闊的壹種,受保汽車的保險保障是「全險」的。"
42,一般保險的保障範圍包括:,財產保險,長期人身保險,投資相連保險,以上各項皆是,A,"壹般保險的保障範圍包括:人身保險,財產保險,經濟權益保險及責任保險。"
43,"以下哪項汽車保險形式,只保障法律所要求的責任?",「法令」,第三者責任,綜合責任,第三者責任、火災、盜竊,A,「法令」保險只保障法律所要求的責任，
44,以下哪項不大可能涉及在汽車保險保單中的「使若干條款無效及有權追回款項 條款」?,未能在合理時間內報告受傷行人,未能在合理時間內報告受保損壞車輛,在意外事發向受傷行人承認法律責任,以上各項皆是,B,"最常見的情形是,被保險人未能向保險人作出意外報告,或被保險人在沒有預先取得保險人的書面同意以前向第三者承認法律責任。"
45,"在強制性汽車傷亡責任,最低要求的保險金額為:",一百萬,一億,沒有上限,不受限制,B,"對於第三者的死亡和受傷的法律責任,最低要求的保險金額是每次事故壹億港元。"
46,「使若干條款無效及有權追回款項條款」 可於以下哪項情況下使用?,當強制性條款凌駕於保險條款之上,當只有被保險人的車輛受損的時候,當涉及第三者財產損毀的時候,以上所有各項,A,"在某些情形下,即使被保險人違反了保單條款,強制保險的相關規定仍不容許保險人拒絕向第三者賠償死亡或受傷的損失。"
47,以下哪項相當可能不涉及「使若干條款無效及有權追回款項」條款?,未有於合適時間內報告行人受傷,未有於合適時間內報告受保汽車的失竊,於事發現場向受傷行人承認責任,鼓勵受傷行人提出申索而違反保單條款,B,"最常見的情形是,被保險人未能向保險人作出意外報告,或被保險人在沒有預先取得保險人的書面同意以前向第三者承認法律責任。在這些情況下,如果被保險人須負上第三者責任,儘管被保險人違反了保單條款,保險人仍須向第三者作出賠償。"
48,汽車保險中「附加的」自負額是指?,"有關強制性的保險,按法律要求而必需的",適用於指定業務範圍內的所有保單,因應特別投保條件的承保目的而適用的,被保險人為得到保費折扣而自顧選擇的,C,汽車保險中「附加的」自負額是指因應特別投保條件的承保目的而適用的。
49,為什麼強制汽車保險要求對於普通私人汽車所有者是重要的?,保護他們的汽車免受損失,保護他們免受交通事故的法律責任,減少汽車保養成本,提供額外的汽車性能保護,B,"強制汽車保險要求確保私人汽車所有者在發生交通事故時能夠負擔相關的法律責任和賠償,從而保護他們免受法律制裁。"
50,哪些情況不需要符合強制汽車保險要求?,政府機關使用的汽車,"已向庫務署署長繳存2,000,000港元的人擁有的汽車",所有在香港使用的汽車都需要符合要求,私人使用的汽車,B,"屬於政府財產的汽車正由獲其授權的人使用,或由已向庫務署署長作出價值2,000,000港元的繳存的人所擁有的汽車正由該車主或該車主的僱員駕駛。"
51,為什麼在香港道路上使用汽車必須按照法定要求購買汽車責任保險?,保護汽車所有者的財產,防止交通事故的發生,遵守法律規定,提供汽車維修保養,C,"香港法律要求汽車所有者購買汽車責任保險,以確保他們遵守法律規定,並在發生交通事故時能夠負擔相關的責任和賠償。"
52,擴展汽車保險保單的保障範圍包括:,刪除保單某項除外責任,擴大受保司機人身意外保險的保障,擴大受保汽車修理期間的使用損失,包括以上各項,D,"可支付額外的保費從而擴大保險保障的範圍包括刪除保單的某項除外責任或增加保險利益項目,例如擴展人身意外保險保障,豁免第三者財產損害自付額等。"
53,以下哪項屬於私家車保險得到折扣的途徑?,自願性自負額,無索償折扣,汽車長期「停用」,以上所有各項,D,"除了無索償折扣和自願性自負額以外,用同壹份保單承保壹輛以上的汽車或「停用」(即暫時停止使用)受保汽車超過某壹段期間後,也可以獲得保費折扣。"
54,私家車的法律責任中法定保險的保障額是:,一億港元,一百萬港元,二百萬港元,以上沒有任何保障金額適用,A,"法定保險的保障通常是法定最低額,即每宗事故壹億港元。"
55,"在香港現時未擴展的汽車保險保障中,以下哪項是除外責任?",汽車冷卻器的損壞,汽車在維修過程中租用其他車輛的費用,汽車零件遭盜竊,汽車擋風玻璃遭撞擊而損壞,B,"綜合私家車保單保障的受保汽車的損失或損害部分設有特定的除外責任包括後果損失(比如,當受保汽車在意外發生後正在進行修理時,租用另壹輛汽車所需的費用。)"
56,"以下哪項損失及損毀的例子,可得到綜合私家車保單的保障?",更換破舊的通風管,更換破舊的電線的開支,被保險人的車輛的車胎被割損(沒有其他損毀),被保險人的車輛被盜賊偷去時損毀,D,"綜合私家車保單保障的受保汽車的損失或損害部分設有特定的除外責任,例如折舊、损耗,以及電氣或機械故障。所除外的壹般是損失或損害本身,而非由「折舊………………」引致的損失或損害,因此,如果 制動器的損耗引致汽車碰撞而被毀,僅是該制動器的損毀不獲賠償。"
57,以下哪項是不屬於香港汽車保單中造成「本身損失及損害」的保險範圍?,於碰撞中對汽車做成的損害,"對輪胎造成損毀,對汽車並未做成其他損害",汽車上的配件及備用,"除對輪胎造成損毀外,對汽車亦做成其他損害",B,"綜合私家車保單保障的受保汽車的損失或損害部分設有特定的除外責任,例如折舊、損耗,以及電氣或機械故障。所除外的壹般是損失或損害本身,而非由「折舊………………」引致的損失或損害,因此,如果制動器的損耗引致汽車碰撞而被毀,僅是該制動器的損毀不獲賠償。"
58,"一輛汽車高速行駛翻側,全車損壞。但沒有令到任何生命損傷,請問以下哪類保單可獲賠償?",綜合私家車保單,第三者責任保險保障,第三者責任、火險、及盜竊保險保障,以上所有各項,A,"綜合私家車保單的保障範圍包括受保汽車的損失或損害。這種「全險」範圍的財產保險,承保被保險人的汽車,及屬於該汽車並於遇事時在其上的配件及零件,並以該車遭受損失或損害時的合理市價為彌償上限。"
59,"汽車保險中,私家車用途是:",受保駕駛者視為陌生人的乘客,非為獎賞或租金而接載的乘客,為了租金而提供接載服務的乘客,會給予小費的乘客(如給予小費予的士司機),B,"私家車保險旨在承保不主要用於攜帶貨物的,而是用於被保險人的私人用途的,或並非為了出租或取酬而用作運載乘客的汽車。"
60,以下哪項不屬於主要的汽車類別?,商用車輛,私家車,出租汽車,電單車,C,汽車保險的主要類別包括私家車、電單車及商用車輛。
61,"電單車保單中,「本身損害或意外損害」保障的除外責任包括: (i)電單車部份配件因盜竊所招致的損失  (ii)因意外而引致的維修費 (iii)司機因投保車輛意外損毀而引致的醫療開支 (iv)自負額",只有(i),只有(iii),(i)及(ii),(i)、(iii)及(iv),D,#NAME?
62,以下哪項描述不屬於「電單車」保單的保障範圍?,電單車乘客在意外中身體受傷,受保電單車的任何損害(因火災或盜竊引起的除外),"只有當整輛電單車被盜竊,才能就盜竊而索償",為電單車乘客所付的醫療開支,D,承保醫療費用的標準保單部分及擴展人身意外保險保障並不存在。
63,電單車保險的保障範圍不包括:,司機的意外受傷,整部車輛被盜去,後座乘客在發生意外後的醫療費用,對乘客引致的受傷負責,C,承保醫療費用的標準保單部分及擴展人身意外保險保障並不存在。
64,"以下哪些適用於電單車保險? 章節 1 (i) 只有當整輛電單車被盜時,才能就盜竊而索償 (ii) 沒有提供醫療費用保障 (iii) 因火災或盜竊而導致的損失設有標準自負額 (iv) 最高的無索償折扣比私家車的為低",只有(i)和(ii),"(i), (ii)和(iv)","(ii), (iii), (iv)",以上皆是,B,"通常對受保電單車的任何損失或損害(因火災或盜竊引起的除外),都設有額標準自負額。"
65,以下哪項描述不屬於「電單車」保單的保障範圍?,電單車乘客在意外中身體受傷,當整輛電單車遭到偷竊,電單車的意外損毀,為電單車乘客所付的醫療開支,D,承保醫療費用的標準保單部分及擴展人身意外保險保障並不存在。
66,"車房及其他類似風險會有特別的需要,這包括:",賽車,速度測試,汽車行業風險,以上各項,C,"汽車行業風險是指車房及其他類似風險,只要其業務絕大程度上與汽車有關,就會有特別的保險需要。這類風險的保單,可能涉及在道路上使用汽車或處所上的風險,並提供多樣化的保險保障組合。"
67,"由於車房的業務絕大程度與汽車有關,而且有特別的需要,提供的保障亦有所 不同,這類保單稱為:",汽車行業風險,汽車責任限額,批發及貿易,第三者責任,A,"汽車行業風險是指車房及其他類似風險,只要其業務絕大程度上與汽車有關,就會有特別的保險需要。這類風險的保單,可能涉及在道路上使用汽車或處所上的風險,並提供多樣化的保險保障組合。"
68,所有類型的汽車保險保單(汽車行業除外)都有一些通用的除外責任。以下哪項屬於除外責任的範圍?,運送貨櫃或拖架工具的商用車輛,的士,機械挖土機,送遞薄餅的電單車,D,與食物中毒及相關的索償(如汽車被用作流動食物售賣處)屬於除外責任的範圍。
69,一些特別車輛(如救護車或鏟泥車)所購買的保險類別為:,汽車貿易,大型汽車,專門車輛,綜合,C,專門車輛是指有需要對面對不尋常的風險的汽車(例如救護車及殯儀車) 採用特別的條款。
70,"在香港,會把車輛用作「謀生工具」有關的車輛較可能出現於下列哪項商用車輛保險單中?",謀生工具,汽車貿易,專門車輛,綜合,C,"在香港,會把車輛用作「謀生工具」有關的車輛較可能出現專門車輛保險單中。"
71,"一部商用車輛如果同時使用於建築工程上,例如挖掘地洞,商用車輛保單可能在這段操作期間拒絕提供保障。這種除外責任稱為:",謀生工具條款,業務使用條款,工業行動條款,專業責任條款,A,"當汽車被用作謀生工具時(例如正在用作謀生工具的機械挖土機),這項除外責任條款稱為「謀生工具條款」。"
72,健康保險屬於下列哪項保險類別?,財產保險,人身保險,經濟權益保險,責任保險,B,"健康保險(或稱“意外及健康保險”)屬於「人身保險」,因為保險標的是人的生命、肢體或健康。"
73,人身意外保單:,只能由被保險人才可取消,"可能由保險人取消,但這種情況並不常見",只能由於被保險人的改變職業才可取消,不能於保單生效兩年後才取消,B,"人身意外保單壹般為期壹年,期滿後是否續保是個相互協議的問題。保單壹般包含註銷條款,允許單方面發出訂明通知以中止保單,保費可退。"
74,以下哪項或哪些很可能是人身意外保險的除外責任?,自殺,因愛滋病而死,受保人醉酒駕駛遭致死亡,以上各項皆是,D,"所有各項都是除外責任,"
75,"在人身意外保單,被保人的年齡:",在同一個保險年齡範圍內並不重要,直接影響每年保費,影響首年保費,是承保人考慮的最重要特點,A,"年齡限制:雖然保費並非根據受保人的年齡來釐定,但是保單通常指明可保年齡的範圍(例如從18歲到70歲就成人保險保障而言)。"
76,「人身意外」保險需要為下列哪項補償作出賠償?  i. 自殺 ii. 意外死亡 iii. 蓄意令自己受傷 iv. 爬山引致的傷亡,只有i,只有ii,"ii, iv","ii, iii, iv",B,自殺、蓄意令自己受傷及危險活動均屬除外責任。
77,以下哪項或哪些是人身意外保險保單的醫療費用保障正確的陳述?,所提供的保險保障並無限額,保險保障不適用於常用保單的除外責任,費用必須由意外傷害導致,以上各項皆是,C,"可獲償付的醫療費用必須由「身體受傷」而非疾病導致,並受每宗事故賠償限額限制。"
78,"在人身意外的保單中,每周利益最可能在以下哪項情況下發放?",死亡,醫療費用,永久傷殘,部分傷殘,D,按周計算的利益是針對暫時完全殘疾(傷殘程度達100%者為之「完全殘疾」)或暫時部分殘疾(傷殘程度低於100%)的定期付款。
79,以下哪項對人身意外保險的整付利益的描述是正確的? i. 利益是按「主要保額」的百分比來表示 ii. 死亡或主要受傷均可取得百份之百的主要保額  iii. 多重受傷的總額可 取得多於百分之一百的賠償  iv. 對指明損傷及其有關的利益分配往往是在保單訂明的,"i, ii, iii","i, ii, iv","ii, iii, iv","i, ii, iii, iv",B,"整筆支付的利益的補償通常是按保單內某個指明金額(壹般稱為主要保額)的百分比來表示。死亡及永久殘疾(須符合有關定義)都會得到百分之百的保險金给付,而指定的主要損傷(比如喪失雙肢體和喪失全部視力等)的任何壹項均會得到百分之百的保險金給付。此外,對指明損傷及其有關的利益分配往往是在保單訂明的。"
80,"在人身意外及疾病保單中,以下哪一項不屬於保單中的保障範圍?",因意外導致死亡或受傷的整筆權益,由於暫時性的喪失能力而發放的每週利益,由於意外受傷入院而發放的每日醫療權益,因意外受傷而招致的醫療開支,C,"人身意外保險保障可以在三個主要項目之下加以描述,各項均以受保人遭受訂明身體受傷作為保單責任的先決條件:整筆支付的利益、按周計算的利益和醫療費用。"
81,以下哪項不是人身意外保險的慣常保障範圍?,意外受傷導致的醫療費用,任何原因死亡的整筆利益支付,暫時或永久喪失工作能力的每周利益支付,意外死亡或其他指明損傷的整筆利益支付,B,整筆支付的利益只適用於因意外事故導致死亡或其他指明損傷。
82,"人身意外保險屬於意外保險的首個主要類別,是因應早期以下哪項不斷上升的意外而發展?",汽車,鐵路,船隻,腳踏車,B,"人身意外保險屬於意外保險中首先面世的主要險種,它起源於早期鐵路上發生的意外個案不断上升所引發的保險需求。"
83,釐定意外保險保費的基本因素包括:,過往5年的意外數目,被保險人的居住地點,從死亡表中取得,被保險人的專業職業,D,"多種個別的特點(如年齡)可能會影響核保的結果,但根據被保險人的職業計算保費是標準的做法。"
84,人身意外保險的保障包括:,自殺,濫用藥物,被搶劫案中的劫匪所槍傷,上述所有各項,C,"違反社會原則的活動,例如自殺、蓄意令自己受傷、酗酒或濫藥(服用由合格醫生開的藥則屬例外)屬除外責任。"
85,"不論是獨立保單形式或是組合保單一部份的保障形式,在人身意外保險中,所包括的一般除外責任較可能包括:",自殺,故意傷害自己的身體,危險活動(例如:爬山),以上各項皆是,D,自殺、蓄意令自己受傷及危險活動均屬於除外責任。
86,「人身意外」保險需要在下列哪項或那些情況下作出賠償?  (i) 自殺 (ii) 意外死亡 (iii) 蓄意令自己受傷 (iv) 爬山引致的傷亡,只有(i),只有(ii),(ii)及(iv),(ii)、(iii)及(iv),B,自殺、蓄意令自己受傷及危險活動屬於除外責任。
