question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation
325,以下哪三項屬於本港公眾責任保險保單中的除外責任? (i) 合約上的責任  (ii) 在受保地區範圍以外發生的 (iii) 較適合由其他保單保障的責任(如:汽車)  (iv) 第三者意外責任,(i) (ii)及(iii),(i) (ii)及(iv),(i) (iii)及(iv),(ii) (iii)及(iv),A,"公眾責任保單的限制及除外責任包括: (i)地區範圍:在指明地區範圍以外發生的意外事故不受保,而且,根據典型的司法管轄條款,受保的第三者索償必須受香港的司法管轄。 (ii) 其他保單也可以承保責任風險。為了避免重複及混亂,這類風險(例如汽車和僱員補償)是除外的。 (iii) 合約附加的責任 (iv) 「標準的」除外責任,例如戰爭及核風險等。"
326,以下哪項對於公眾責任保險的描述是正確的?,它的索償可能於較後時間提出,它保障受傷及財產損毀的索償,它保障有關索償訴訟的費用,以上所有各項,D,"所有各項陳述都是正確的,"
327,公眾責任保險的概念是指:,提供僱員受傷的保障,提供僱員的財產損毀保障,提供僱員受傷或財產損毀的保障,提供非僱員受傷或財產損毀的保障,D,"不屬於專門的責任保險(如汽車保險、僱員補償保險、產品責任保險、專業彌償保險等) 可保的法律責任,就是公眾責任保單的保障範圍。"
328,以下哪項較不可能是公眾責任保單的除外責任?,在特定範圖以外所引起的責任,其他保單(例如:汽車)較適合提供保障的責任,因被保險人或其職員疏忽所引起的責任,保險人根據合約安排承擔的責任,C,"公眾責任保單的限制及除外責任包括: (i)地區範圍:在指明地區範圍以外發生的意外事故不受保,而且,根據典型的司法管轄條款,受保的第三者索償必須受香港的司法管轄。 (ii) 其他保單也可以承保責任風險。為了避免重複及混亂,這類風險(例如汽車和僱員補償)是除外的。 (iii) 合約附加的責任 (iv) 「標準的」除外責任,例如戰爭及核風險等。"
329,公眾責任保險是:,保障對於公眾成員的法律責任,保障汽車意外引致的責任,保障公眾成員所引致的損失毀壞,保障員工的法律責任,A,"凡是就死傷或財產損害承擔的,但又不屬於專門的責任保險(如汽車保險、僱員補償保險、產品責任 保險、專業彌償保險等)可保的法律責任,就是公眾責任保單的保障範圍。"
330,以下哪項對船東保賠組織的描述是正確的?,主要是為船體碰撞的責任負責 小章節 7,提供代表船東運作的自保計劃,屬於相互賠償社的組織,以上所有各項,D,"所有各項陳述都是正確的,"
331,"「協會條款」在水險是以編號條款形式構成一套公認的合約用詞,這協會是:",德國保險人協會,倫敦保險人協會,香港水險協會,水險保障協會,B,"香港的商業水險中,大部分保單均以協會條款作為措詞。協會(指倫敦保險人協會)條款在國際水險業中聲譽卓著,是被公認的保單措詞,並且幾乎被全球所有的保險人、銀行和有利害關係的機構所採納使 用。"
332,"在海上船險中,以下哪項屬於單獨海損?",因船隻相撞而造成的輕微損毀,因盜竊而損失的貨運物品,因漏電令導向損毀,以上所有各項,D,"簡單的說,單獨海損是指影響有關保險標的的部分損失,共同海損損失則除外。"
333,以下哪項關於「海損」的描述是不正確的?,它的意思是部分損失而非全部,它通常與不足額保險有關,「共同海損」代表分擔出現的損失,「單獨海損」是指船體的部份損失,B,"財產保險合約「適用比例分攤」,意思是說,必須全額投保,否則須按發生損失時投保不足的比例分攤損失,以作懲罰。在水險中,""Average”是指部分損失(即非全損)。"
334,在水險的責任風險保險:,通常包括在水險保單,是不會出現在水險保單,是法律強制性的要求,大部分是由船東保賠組織提供保障,D,"在水險的責任保險除了碰撞責任保險保障以外,主要的責任保險保障中有一種名為“P&I”責任保險保障。P&I 保險保障傳統上是由船東保賠組織提供的。它們成立的目的是向本身的會員船東提供某些不易從商業保險人(或牟利保險人)那裏購得的保險。"
335,"一般水險有兩種海損,一種是共同海損,而另一種是:",單獨海損,獨立海損,海損的特別條例,分攤海損,A,在水險中有兩種部分損失:單獨海損和共同海損。
336,"根據海上貨物保險,「倉至倉」是以下哪項的正確陳述?",只是指任何水上的運輸途徑,只是指有關陸上的運輸途徑,是指包括水上及陸上的運輸途徑,是指由港口至貨倉的有關連輸途徑,C,"海上貨物保險保障大多數是「倉至倉」的保障,意思是保險保障自貨物離開發貨人的倉庫時開始,直至到達最終存放目的地時完結。這幾乎一定會同時涉及陸路和上水上的運送。"
337,"一批貨物投買協會貨物條款A,經運送後存放在目的地的海關貨倉,但被火災燒毀。這個情況能不能得到保障?","不能,因保障是「港至港」,一卸貨保障就終止","能,火是受保危險,而且保障是「倉至倉」","不能,只有火險保單才能保障這個情況","能,火是受保危險,而且保障是「港至港」",B,"根據協會貨物條款A,有關的本身損害保險保障是「全險」的,很多時候這是就付運的貨物提供貸款或保證的銀行唯一可以接納的保險保障。海上貨物保險保障大多數是「倉至倉」的保障。"
338,"「協會條款」在水險裡是以編號條款形式構成一套公認的合約用詞,這協會是:",美國保險人協會,倫敦保險人協會,香港保險人協會,水險保險人協會,B,"協會(指倫敦保險人協會) 條款在國際水險業中聲譽卓著,是被公認的保單措詞,並且幾乎被全球所 有的保險人、銀行和有利害關係的機構所採納使用。"
339,"一項海上冒險中作出犧牲,成功挽救其他財物。遭受損失者有權向其他財產擁有權益者作出追討,這稱為:",代位權,分攤,共同海損,單獨海損,C,"凡在發生危險時,為了保存共同冒險中陷於危險中的財產而自願和合理地作出或招致任何特殊犧牲或費用,屬於共同海損行為。"
340,以下哪項對共同海損的描述是不正確的?,當整體冒險事業出現危機時出現,整體事業最終是得救的,本質上不屬於犧牲,出現損失時必須共同承擔,C,"凡在發生危險時,為了保存共同冒險中陷於危險中的財產而自願和合理地作出或招致任何特殊犧牲或費用,屬於共同海損行為。"
341,以下哪項關於水險保單中的約定價值是正確的?,被保險人必須對貨物進行獨立的評估,它只適用於非全損,它不具保額,它是為了商業上的方便而購買的,D,"為了商業上的方便,承保船隻或貨物的保險一般是以約定價值方式提供保險保障的——除了保額以外,保單還指明一個約定價值。就全損及部分損失而言,該約定價值(而非受保財產的實際價值)將 被當作是損失發生時的財產價值。"
342,"為了挽救冒險中受險的生意而犧牲,損失者可以向其他利益代表要求分擔出現的損失。這個慣例稱為:",分攤,代位權,共同海損,按比例海損,C,"凡在發生危險時,為了保存共同冒險中陷於危險中的財產而自願和合理地作出或招致任何特殊犧牲或費用,屬於共同海損行為。"
343,"在水險保單中,下列哪三個構成损失的原因不是推定全損而是實際全損? i. 船隻被火災完全摧毀 ii. 船隻在風暴中消失 iii. 船隻被盜且不能找回 iv. 船隻嚴重損毀在經濟角度上而言不值得維修","i, ii, iii","ii, iii, iv","i, iii, iv","i, ii, iv",A,"構成實際全損的三種清況是: (i) 保險標的被毀掉; (ii) 保險標的遭損壞的程度使其不再屬受保類別的物品(比如水泥被雨水弄濕後結塊,不能還原); 或 (iii) 被保險人已在無法挽回的情況下失去該保險標的(例如運輸途中的金條沈入了深海)。"
344,船東保賠組織是一個:,註冊的慈善機構,獨資貿易商的組織,相互賠償社,專利(合股)公司,C,"船東保賠組織是由船東成立的自我保險組織,主要向本身的會員船東提供某些不易從商業保險人(或 牟利保險人)那裏購得的保險。"
345,"遇上海上風險,某人因拯救船上財物,向拯救者支付一筆償金,稱為:",救助,代位權,分攤,共同海損,A,"在海商法中,「救助」一詞一般指以「無效果——無報酬」為條件而搶救正受海上風險、海盜或敵對行為威脅的船隻或其他海上財產,行動成功的話,有關財產的擁有人必須向救助人員支付一筆名為「救助償金」的金錢,在海上保險條款中則稱為「救助費用」。"
346,"在貨物條款的保障下,「倉至倉」的保障形式是:",只涉及陸路的運送 小章節 7,只涉及水路的運送 部分 1,包括陸路及水陸上的運送,只包括由港口運抵貨倉途中的運送,C,"海上貨物保險保障大多數是「倉至倉」的保障,意思是保險保障自貨物離開發貨人的倉庫時開始,直至到達最終存放目的地時完結。這幾乎一定會同時涉及陸路和水上的運送。"
347,以下哪項在水險中提供最廣闊的保障範園?,約定價值保單,協會貨物條款A,協會貨物條款B,協會貨物條款C,B,"協會貨物條款A有關的本身損害保險保障是「全險」的,很多時候這是就付運的貨物提供貸款或保證的銀行唯一可以接納的保險保障。"
348,"下列哪三種水險,是以「特定危險」為根據?  (i) 貨物條款 A (ii) 貨物條款 B (iii) 貨物條款 C (iv) 遊艇條款保險",(i)、(ii)及(iii),(i)、(ii)及(iv),(ii)、(iii)及(iv),(i)、(ii)、(iii)及(iv),C,"協會貨物條款 A 有關的本身損害保險保障是「全險」的,很多時候這是就付運的貨物提供貸款或保證的銀行唯一可以接納的保險保障。"
349,"協會貨物條款(A)是以「全險」作為根據,以下哪項是會得到保障?",在火災中被燒毀的貨物,在運送途中被盜竊的貨物,"在航行中,被大浪捲走的貨物",以上所有各項,D,"協會貨物條款A 有關的本身損害保險保障是「全險」的,很多時候這是就付運的貨物提供貸款或保證的銀行唯一可以接納的保險保障。"
350,船舶保險中的免賠額是:,約束著部份海損索償,約束著全部損失的索償,約束著部份海損及全部損失的索償,部份海損及全部損失都不受約束,A,"船舶保險只就部分損失而非全損索償設定了免賠額,"
351,"船舶保險單中指明免賠額為損失的5%,若船體價值為一百萬,當船隻出現全部損失時,賠償額為:",25萬,75 萬,95萬,100 萬,D,"船舶保險只就部分損失而非全損索償設定了免賠額,"
352,"碰撞責任保障並不常見。這類保障一般只承擔其中四分之三的法律責任,餘下四分之一:",船東通常不會投買,不能在別處投買,向船東保賠組織投買,由一份獨立的船體保險提供保障,C,"保單只負責碰撞法律責任的75%(總是以3/4this 表示)。餘下的25%,連同某些其他類型的「船東法律責任」,則由船東保賠組織承保。"
353,"船舶保險保單中指明免賠額為保額的5%,若保額為一百萬,以下哪項損失的情況不需顧及到免賠額的規定?",損失為5萬,損失為7萬5千元,損失為10萬,損失為100 萬(全損),D,"船舶保險只就部分損失而非全損索償設定了免賠額,"
354,"船舶保險中,保單只負責碰撞責任的:",90%,10%,25%,75%,D,"保單只負責碰撞法律責任的75%(總是以3/4this 表示)。餘下的25%,連同某些其他類型的「船東法律責任」,則由船東保賠組織承保。"
355,以下哪項是海洋船舶保險的保障範圓的標準特點? (i) 損害防止的開支 (ii) 共同海損及救援的費用 (iii) 保障船主所承受的一切責任風險 (iv) 保障範圍包括船隻整體及設備的損失及損毀,(i)及(ii),(ii)及(iii),"(i), (ii)及(iv)",(i)、(ii)、(iii)及(iv),C,"船舶保險(有時稱為「船殼及機器保險」)不僅承保受保船隻的船殼,還承保其設備、物料、救生艇,以及該船需用的燃料等。損害防止費用及共同海損和救助費用是受保的。 協會船舶條款所提供的財產保險保障一般是指明危險的(海險、火災、爆炸等)。"
356,"在船體碰撞責任方面,以下哪個機構會提供最大的責任保障?",船東保賠組織,有關之保險公司,倫敦保險人協會,負責處理之保險代理人,B,"碰撞責任只承保受保船隻在與另一艘船互相碰撞後承擔的法律責任,而且保單只負責該等法律責任的75%(總是以3/4this 表示)。餘下的25%,連同某些其他類型的「船東法律責任」,則由船東保賠組織承保。"
357,船舶保險的財產損害部份有可能是:,船上裝有的貨物,船上設備,船身主體部份,船頭之損毀部份,C,"船舶保險(有時稱為「船殼及機器保險」)不僅承保受保船隻的船殼,還承保其設備、物料、救生艇,以及該船需用的燃料等。一艘船的船殼是它的主體。"
358,海洋船體保險保費的釐定是根據:,船上貨物的價值,被保險人的索償經驗,船東的年齡,船隻的大小,B,"保費的釐定很大程度上受個別被保險人的索償經驗影響。儘管是同一艘船,如果船束或管理人另有其人,應付的保費就可以有極其顯著的差別。"
359,"遊艇保險的理賠通常基於不折扣的方法。但對於某些例外的物品可能會作出折舊扣減,而最高折舊扣減額為原值的三分之一,例如: (i) 船帆 (ii) 船外的引擎 (iii) 船東的年齡 (iv) 船隻的大小",(i)及(ii),(i)、(ii)及(iii),(ii)、(iii)及(iv),(i)、(ii)、(iii)及(iv),A,"本身損害索償的結清是按以新代舊原則進行的,但某些指明物品(例如船帆及安裝於船外的引擎)則須進行 折舊扣減,最高扣減額為三分之一。"
360,以下哪項屬於遊艇保險的除外責任?,遊艇上的釣魚裝備,船外的引擎跌落水中,沒有標記母艇名稱的小艇,以上各項,D,"所有各項都是遊艇保險的除外責任,"
361,下列哪項對「遊艇條款」描述不正確?,免賠額不包括全部損失的賠償,不包括責任權益,"倫敦保險人協會規定,以「指明危險」作為基準",特快遊艇(超過十七海里)需採用快艇條款,B,"與商船保單不同,遊艇保單提供了完整(即100%,而非75%)的第三者保險,承保個人受傷、財產損害方面的法律責任和法律開支。"
362,下列哪項對「遊艇條款」描述不正確?,免賠額不包括全部損失的賠償,責任保險是由船東保賠組織提供,"倫敦保險人協會規定,以「指明危險」作為基準",特快遊艇(超過十七海里)需採用快艇條款,B,"與商船保單不同,遊艇保單提供了完整(即100%,而非75%)的第三者保險,承保個人受傷、財產損害 方面的法律責任和法律開支。"
363,"在一般保險中,核保涉及兩個階段包括:","選擇風險,但不涉及保險合約的條款",選擇承保的風險及合約的條款,只涉及釐訂保費,以上所有各項,B,《保險原理及實務》中核保的兩個重要過程: (a) 選擇風險(即判斷它們的可保性);及 (b) 決定合約的條款。
364,核保的程序涉及:,風險的類別,風險的選擇,變更標準合約的條款,以上所有各項,D,"核保的程序涉及所有各項,"
365,"某個術語用在一般保險中,含義和人壽保險中的「申請表」相同。這個術語 是:",保險憑證,暫保單,投保書,續保要求,C,"投保書也稱為投保單、申請表,當中以申請表在人壽保險中用得較為普遍。"
366,"人身意外保險提供的保障包括三個標題,分別是整筆權益(一筆過的款項)、每週利益及:",退休年金,牙科護理,醫療開支,住院權益,C,"人身意外保險保障可以在下面三個主要項目之下加以描述,各項均以受保人遭受訂明身體受傷作為保單責任的先決條件: (i) 整筆支付的利益 (ii) 按周計算的利益 (iii) 醫療費用"
367,"在正常情況下,要證明一項事實的重要性是屬於:",保險人的責任,被保人的責任,保險人及被保險人的責任,由法庭裁決,A,"如果有不明確的情況,保險人一般有責任證明有關事實是重要的,而投保人所提供的資料是不充分的。"
368,"保險核保人在風險評估過程中,可能涉及:",風險的可保性,標準保費是否適合,是否要採納自負額或免賠額,以上所有各項,D,"保險核保人在風險評估過程中,可能涉及所有各項。"
369,核保一般保險的特性:,"保單條款與人壽保險一樣,核保之後便不能改變","與人壽保險類似,但不涉及可保利益的考慮","與人壽保險一樣,可保利益只需在保單開始時存在","需要持續核保,每年續約或更新保單條件",D,"一般保險的風險估定是一個持續的、或最低限度是可重複的過程。一般保險通常為期一年,需要續保。"
370,以下哪項或哪些屬於重要事實?,增加風險的事實,涉及以前的損失或索償記錄,涉及以前不良的保險經驗,以上各項皆是,D,"所有各項都是重要事實,"
371,以下哪項屬於非重要事實?,改善或降低有關風險的事實,過往的損失經驗,以往的索償的經驗,以上所有各項,A,"任何不構成重要事實的事實沒有必要披露(例如打算購買火險時的實際年齡)。不過,有些事實可能符合重要事實的定義,然而僅僅是因為法律的規定而不必披露。這包括改善或降低風險的情況等。"
372,"保險核保人在風險評估過程中,可能涉及:",風險的可保性,標準保費是否合適,是否要採納自負額或免賠額,以上所有各項,D,"所有各項都是保險核保人在風險評估過程中可能涉及的,"
373,"在農業保險申請表中,以下哪項不屬於重要事實?",減低水災發生的事實,"在以往經歷中,涉及不受保險保障的水災索償的事實",涉及風險大於正常的事實,可能出現損失的程度高於標準水平,A,"改善或降低風險的情況屬「非重要」事實,"
374,"於一般保險的核保人對風險的估定及評估,以下哪些是考慮的範園?",風險的可保性,標準保費率是否適合,應否接納免賠額或自負額,以上所有各項,D,"所有各項都是進行風險評估時須要考慮的事項,"
375,"在一般保險中,風險評估以確定風險的可保性是:",只在保單索償時進行,只在保單續保時進行,在保單續保或其他時候重覆進行,只在保單開始時進行,C,"有別於人壽保險,一般保險的風險評估是一個持續的、或最低限度是可重複的過程。通常風險評估出現在: (i) 投保階段 (ii) 保單續保的時候 (iii) 索償發生時 (iv) 擬對現有條款作出重大更改時 (v) 風險有所變化"
376,"任何對投保風險的可保性或可能採用的條款造成不利影響的資料,可被描述為:",重要事實,必要事實,基本事實,核保要求,A,"重要事實的法律定義為:「在訂定保費或決定是否承擔風險方面會影響一名審慎的保險人的判斷的任何情況」。實務上,核保人一般有興趣獲知任何影響著有關擬保風險的可保性及應採用甚麼條款的事實。"
377,"核保風險評估過程,風險估定可能需要考慮的要點包括:",風險的可保性,標準保費是否適合,標準保單用詞是否須要修改,以上所有各項,D,"所有各項都是進行風險評估時須要考慮的事項,"
378,以下哪項屬於不須披露的「非重要事實」?,一項減低風險的事實,涉及過往賠償及損失的事實,風險比預期大,潛在損失比預期大,A,"任何不構成重要事實的事實沒有必要披露(例如打算購買火險時的實際年齡)。不過,有些事實可能 符合重要事實的定義,然而僅僅是因為法律的規定而不必披露。這包括改善或降低風險的情況等。"
379,"在正常的情況下,要證明一項事實的重要性是屬於:",保險人的責任,被保人的責任,保險人及被保險人的責任,由法庭裁決,A,"如果有不明確的情況,保險人一般有責任證明有關事實是重要的,而投保人所提供的資料是不充分的。"
380,"在最高誠信中,被保險人毋須披露以下哪一項事實?",以往損失經驗的事實,以往索償經驗的事實,屬於一般常識的事實,以上所有各項,C,"屬於常識的的情況是「非重要」事實,"
381,一般在判定一項風險的可保性和決定採納甚麼合約條款的人是:,代理人,核保人,保險經紀,保險公司的行政總裁,B,"實務上,核保人一般有興趣獲知任何影響著有關擬保風險的可保性及應採用甚麼款條款的事實。"
382,以下哪項不屬於保單中的重要事實?,五十五歲的投保人(公眾責任),儲存大量汽油的辦公室(火險),多次被盜竊的地方(家居保險),曾遭意外導致雙足殘廢(意外保險),A,重要事實的法律定義為:「在訂定保費或決定是否承擔風險方面會影響一名審慎的保險人的判斷的任何情況」。
383,"對特定的投保進行評估時,承保人會全面了解風險。當中包括兩大類別,分別 為實質危險及:",道德危險,非實質危險,無形危險,心理危險,A,核保人把危險分為兩類實質(物質)危險和道德危險。
384,以下哪項是道德危險的不正確描述?,涉及人性行為的特點,道德危險有分為好與壞,"不單涉及不誠實,還涉及主觀的特點",比實質危險容易察覺,D,"比起實質危險,道德危險屬於較主觀及較難理解的概念。"
385,甚麼風險因素可影響道德危險?,引起盜竊的吸引力(盜竊保險),令人不滿的索償經驗,被保險人對索償的無理態度,被保險人的身體狀況(個人意外保險),C,"道德危險可能出現的負面形態包括“不合情理”,即根據普遍被接納的詞意,某人可能非常誠實;然而當他鑽牛角尖或極端固執時,便可能製造極大的麻煩。"
386,以下哪項是道德危險的不正確描述?,涉及人性行為的特點,道德危險有分為好與壞,"不單涉及不誠實,還涉及主觀的特點",比實質危險容易察覺,D,"比起實質危險,道德危險屬於較主觀及較難理解的概念。"
387,"一些主觀因素,如態度、行為及操守都可以成為評估風險的考慮因素,這些因素亦稱為:",實質(物質)危險,道德危險,重要事實,檢驗報告,B,"如果我們把道德危險作為「人性元素」來考慮,或許更能明白其中的含義。也就是說,這是指被保險 人及其他與該風險有關的人(例如被保險人的家庭成員和僱員)的態度、行為及操守的本質和特點。"
388,以下哪一項不是影響一項風險的道德危險?,被保險人一方的不誠實,建築物中的建築材料,被保險人及受僱僱員的粗心大意,被保險人對索償的無理態度,B,建築材料是實質危險的例子。
389,"核保時,保險人會考慮投保人的實質危險,以下哪項不屬於實質危險?",目標物件的價值及吸引力(盜竊保險),被保人的僱員的粗心大意行為(意外保險),建築物中的建築材料(火險),員工的工作性質(僱員賠償保險),B,"粗心大意及魯莽屬道德危險,"
390,"以下哪項危險屬於較易理解及辨別,而且擁有客觀的特質?",道德危險,非道德危險,實質危險,非實質危險,C,"實質危險指的是風險的客觀、物質性本質,即是明顯而且容易被確認的特點。"
391,"在估定一項風險,核保人都會考慮的事情主要分為兩方面,一般稱為「實質危險」及:",典型危險,道德危險,非實質危險,心理危險,B,核保人把危險分為兩類:實質(物質)危險和道德危險。
392,"風險的估定是實質本性與有關事實的結合,可稱為:",核保人承保的考慮因素,道德危險,實質危險,受保商數,C,"實質危險指的是風險的客觀、物質性本質,即是明顯而且容易被確認的特點。"
393,以下哪一項不屬於在一般情況下影響一項風險的實質危險?,引起盜竊的吸引力(盜竊保險),令人不滿的索償經驗,被保險人一方的不誠實,被保險人的身體狀況(個人意外保險),C,"被保險人一方的不誠實屬道德危險,"
394,"投保書中問題的答案可能會引起保險人的進一步查詢(檢驗),例如:",正投保大額款項的盜竊保險,曾多次索償意外撞車的汽車保險,正投保大額的建築火險保險,以上所有各項,D,"所有各項都可能會引起保險人的進一步查詢,"
395,"當為火災保險作實質危險估定時,應考慮哪些因素?",結構物料,投保人的年齡,投保人之道德操守,以上全部都不是,A,建築材料對火險的重要性是十分明顯的。木質建築物比起混凝土的同類型建築物自然要付更高的保費。
396,"根據自願醫保計劃的認可產品簽發的保單,是否可以附帶或附加於其他保險產 品?",任何情況下都可以,任何情況下都不可以,"在不與自願醫保的目標有所抵觸,並且不得削減保單持有人在同一保單下就認 可產品可獲得的保障就可以加入長期保險產品","在不與自願醫保的目標有所抵觸,並且不得削減保單持有人在同一保單下就認可產品可獲得的保障就可以加入一般以及長期保險產品",D,"根據認可產品簽發的保單,可以附帶或附加於其他保險產品,惟食 局不會將這些其他保險產品視為認可產品的一部分。此外,這些其他保險產品的保單條款及細則不得與自願醫保的目標有所抵觸,並 且不得削減保單持有人在同一保單下就認可產品可獲得的保障。"
397,"擬定投保書中的問題時,會選擇以下哪項作為根據?",投保人的詳情,投保人的保險經歷,投保人的損失及索償經歷,以上全部各項,D,"幾乎所有的投保書都有一些共同特點,包括: 1. 投保人的詳情:諸如姓名、地址及職業 2.損失/索償經歷 3. 保險經歷"
398,"投保書是一項重要工具,讓被保險人提供重要事實,同時有助被保險人履行什麼責任?",代位權,近因,可保權益,最高誠信,D,"投保書是一項重要工具,讓被保險人提供重要事實,同時有助被保險人履行最高誠信責任。"
399,"以下哪項或哪些資料屬於投買汽車保險時的重要範圍? i. 投保人的詳細資料,例如:姓名、地址 ii. 投保人的職業 iii. 投保人的年齡 iv. 投保人的損失/索償經歷","i, ii, iii","i, ii, iv","ii, iii, iv","i, ii, iii, iv",D,"所有各項都是投買汽車保險時的重要範圍,"
400,"投保書是一種工具,投保人可利用這文件提交投保風險的詳細介紹,當中的態度必須符合以下哪項保險原則?",可保權益,最高誠信,近因,代位權,B,"當中的態度必須符合最高誠信,"
401,以下哪項不是投保書的主體問題?,投保人的姓名,投保人的地址,投保人的年齡,投保人過往的索償經驗,C,"幾乎所有的投保書都有一些共同特點,包括: 1. 投保人的詳情:諸如姓名、地址及職業 2. 損失/索償經歷"
402,"要得到被保人的資料,保險人可以從何得到?",投保書,檢驗人的專業評估,醫療人員的醫療報告,以上所有各項,D,"承保人可以透過很多方法和渠道,獲取所投保風險的重要事實的詳情。這些包括: - 投保書 - 專業協助:這包括醫療問題(不是一般保險通常要求的),以及各類技術專家的風險檢驗和報告 - 風險檢驗"
403,以下哪項有關投保書的描述是正確的?,空白表格一般不算為保險人向客人作出的合約要約,有時是唯一的資料來源,由保險中介人設計及印刷,以上所有各項,B,"某些業務類別(大多數是個人險種,例如私家車)的投保書,基本上是核保資料的唯一來源。空白表格一般視為保險人向客人作出的合約要約。投保書屬於保險公司的印刷文件。"
404,"以下哪項一般保險業務,填妥的投保書是唯一的資料來源?",火險,盜竊險,汽車保險(私家車),公眾責任,C,"某些業務類別(大多數是個人險種,例如私家車)的投保書,基本上是核保所需資料的唯一來源。"
405,"在投保中,保險人的報價:",立刻受到約束,永不受到約束,"可能受到限制,亦有可能不受到約束","只是一項「協商邀請」,所以不會受到約束",C,"如果保險人不願意被報價正式地約束,他應當適當地表示,例如註明有關報價只作參考用途(或說明類似的限制),或附加某些其他的條件(例如此報價只適用於足以令保險人感覺滿意的投保)。"
406,以下哪項或哪些有關保險報價的說明是正確的?,它必須以書面形式呈現,它可以涉及有關保費及(或)合約條款,"在法律上,要求一項報價可視為一項合約的要約",以上各項皆是,B,"報價可以是書面或口頭的。 報價可以只涉及設想中的保費,或同時提及其他的合約條款。 報價可能被視為可供承約的要約行為。"
407,下列哪項有關報價的描述是不正確的?,它必須是書面,它涉及保費及合約條款,在法律上代表保險人發出的一項正式要約,它可以作為報價或參考用途,A,"報價可以是書面或口頭的,"
408,以下哪項或哪些關於一般保險報價的陳述不正確?,必須用書面形式出現,可以涉及保費和/或合約條款,"法律上,報價被視為一份合約的要約",以上各項皆不正確,A,"報價可以是書面或口頭的,"
409,"由客人查詢,經保險公司以書面發出但並不代表實際保費的稱為?",報價,建議書,投保單,保單,A,"如果投保人只是詢問條款,其本人或其代表可在完成的投保書上註明「僅作報價用途」之類的字眼。"
410,以下哪項或哪些對一般保險的投保書描述是正確的?,"它們對問題的回答永遠不是保證,只是陳述",它們的資料對合約的基礎非常重要,"它們對問題的回答有充足的資料,保險人不需要再查詢其他問題",以上所有各項,B,"投保書上提供的資料是承保人可用於核保決定的主要(有時也是唯一的)資料。幾乎所有一般保險的投保書均包含一項聲明,內容是所提供的資料將成為將要訂立的合約的基礎。"
411,"一般保險來說,除投保書外,還須提供一些額外資料(如專家報告),這些文件:",不會構成投保書的一部份,須由投保人提供及支付相關費用,"只是例行公事,對風險評估沒有幫助","構成投保書的一部份,須知會投保人",D,"任何專家的報告或其他文件必須視為投保書的一部分,這個事實應該讓投保人加以註意。"
